"publish_date","day","publish_time_wib","category","feature","implementation_status","content_goal","hook","thread_outline","design_recommendation","assets_needed","cta","evidence"
"2026-08-01","Sabtu","10:00","Brand & Product","Dua ruang dalam satu app: Cashflow dan Personal Growth","Implemented","Awareness","Keuangan dan pengembangan diri sering hidup di 5 app berbeda. Ethos menyatukannya tanpa mencampur fokus.","Tweet 1: Hook dua ruang satu hidup; Tweet 2: masalah app yang terpisah; Tweet 3: ruang Cashflow; Tweet 4: ruang Personal Growth; Tweet 5: alur Plan, Act, Reflect; Tweet 6: ajak audiens memilih ruang favorit.","Carousel 5 panel. Cover split-screen biru untuk Cashflow dan ungu/hijau untuk Growth; panel tengah memakai diagram dua orbit yang bertemu di logo Ethos; tutup dengan mockup onboarding.","Screenshot onboarding system; screenshot Cashflow Home; screenshot Growth Home; logo Ethos","Kalau harus mulai dari satu, kamu mau beresin uang atau ritme harian dulu?","src/app/(onboarding)/onboarding.tsx | src/i18n/locales/id.ts"
"2026-08-02","Minggu","10:00","Cashflow Basics","Catat income dan expense dengan form cepat","Implemented","Feature education","Masalah tracking uang bukan tidak niat. Biasanya form-nya terlalu ribet untuk dipakai setiap hari.","Tweet 1: Friksi pencatatan; Tweet 2: pilih income atau expense; Tweet 3: masukkan nominal dengan quick amount; Tweet 4: pilih tanggal dan kategori; Tweet 5: hasil langsung masuk Cashflow; Tweet 6: prinsip desain minim langkah.","Screen recording 12-15 detik dari tap Catat sampai tersimpan. Tambahkan callout bernomor maksimal tiga dan overlay waktu penyelesaian.","Video entry form; screenshot hasil transaksi","Coba hitung, biasanya kamu butuh berapa tap untuk mencatat satu pengeluaran?","src/app/(cashflow)/forms/entry-form.tsx | src/components/cashflow/AmountEntryControls.tsx"
"2026-08-03","Senin","19:30","Cashflow Intelligence","Saran kategori dari histori transaksi","Implemented","Show differentiation","Semakin sering dipakai, pencatatan di Ethos makin sedikit mikir: kategori bisa disarankan dari histori kamu sendiri.","Tweet 1: Hook keputusan kecil yang berulang; Tweet 2: nama transaksi dibaca; Tweet 3: histori kategori diranking; Tweet 4: saran tetap bisa diganti; Tweet 5: manfaat konsistensi data; Tweet 6: contoh kopi, transport, dan belanja.","Carousel 4 panel dengan contoh transaksi Kopi Susu. Visualkan alur teks transaksi menuju kartu kategori yang disorot; gunakan label Dari histori, bukan klaim AI.","Screenshot suggested category; diagram alur sederhana; contoh data anonim","Nama transaksi apa yang paling sering kamu catat berulang?","src/app/(cashflow)/forms/entry-form.tsx | src/data/cashflow/categorySuggestions.ts"
"2026-08-04","Selasa","19:30","Cashflow Speed","Quick Fill untuk transaksi rutin","Implemented","Feature adoption","Kopi, parkir, dan ongkir tidak seharusnya diketik ulang setiap hari.","Tweet 1: Hook transaksi berulang; Tweet 2: simpan label; Tweet 3: simpan nominal bawaan; Tweet 4: hubungkan kategori dan wallet; Tweet 5: pakai chip Quick Fill saat mencatat; Tweet 6: tiga ide shortcut pertama.","Before-after carousel. Sisi kiri form manual, sisi kanan satu tap Quick Fill. Gunakan tiga chip besar: Kopi, Parkir, Makan Siang.","Screenshot Quick Fill manager; video chip di entry form","Kalau bikin tiga Quick Fill hari ini, isinya apa saja?","src/app/(cashflow)/forms/quick-fill.tsx | src/app/(cashflow)/forms/entry-form.tsx"
"2026-08-05","Rabu","19:30","Automation","Bagikan struk atau teks menjadi draft transaksi","Implemented; sign-in required; image max 4 MB","Acquisition","Dapat struk digital di chat? Share langsung ke Ethos, lalu review draft transaksinya.","Tweet 1: Demo share sheet; Tweet 2: Ethos membaca gambar atau teks; Tweet 3: nominal, nama, tanggal, kategori, dan tipe dipetakan; Tweet 4: hasil dibuka sebagai draft; Tweet 5: pengguna tetap mereview sebelum simpan; Tweet 6: batas format dan ukuran.","Video vertikal 15-20 detik: share struk, animasi scan, draft form. Blur merchant dan data sensitif. Tambahkan frame terakhir Review dulu, baru simpan.","Rekaman share sheet; struk dummy; screenshot draft entry","Kirim fitur ini ke teman yang masih menyalin nominal struk manual.","src/app/inbound-share.tsx | src/lib/api/inboundShare.ts | app.json"
"2026-08-06","Kamis","19:30","Cashflow Insights","Activity heatmap transaksi","Implemented","Habit formation","Satu heatmap bisa menjawab pertanyaan sederhana: kapan kamu rajin mencatat dan kapan mulai kehilangan jejak?","Tweet 1: Hook jejak konsistensi; Tweet 2: setiap sel mewakili hari; Tweet 3: intensitas menunjukkan aktivitas; Tweet 4: tap tanggal membuka transaksi hari itu; Tweet 5: gunakan untuk menemukan hari kosong; Tweet 6: ritual review mingguan.","Carousel 4 panel dengan heatmap sebagai hero visual. Sorot satu tanggal lalu sambungkan ke daftar transaksi pada panel berikutnya.","Screenshot heatmap; screenshot transaksi per tanggal","Cek heatmap-mu: ada hari yang kosong minggu ini?","src/app/(cashflow)/(tabs)/home/index.tsx | src/components/cashflow/ActivityHeatmap.tsx"
"2026-08-07","Jumat","19:30","Cashflow Organization","Tampilan List dan Kalender","Implemented","Feature education","Data uang yang sama bisa menjawab pertanyaan berbeda kalau dilihat sebagai list atau kalender.","Tweet 1: Hook dua cara melihat; Tweet 2: List untuk mencari detail; Tweet 3: Kalender untuk melihat pola harian; Tweet 4: pilihan tampilan disimpan; Tweet 5: kapan memakai masing-masing; Tweet 6: prompt review akhir pekan.","Split carousel konsisten 50:50. List memakai garis vertikal, Kalender memakai grid; panel terakhir berisi decision card Gunakan List jika... dan Kalender jika....","Screenshot List; screenshot Kalender; video segmented control","Kamu lebih cepat memahami pengeluaran lewat list atau kalender?","src/app/(cashflow)/(tabs)/cashflow/index.tsx | src/components/cashflow/CashflowCalendar.tsx"
"2026-08-08","Sabtu","10:00","Cashflow Power User","Cari, filter, urutkan, pilih banyak, pindah, dan hapus transaksi","Implemented","Power-user education","Saat transaksi sudah ratusan, fitur kecil seperti filter dan bulk action justru paling terasa.","Tweet 1: Hook data yang menumpuk; Tweet 2: cari berdasarkan nama; Tweet 3: filter tipe dan kategori; Tweet 4: urutkan tanggal, nama, nominal, creator; Tweet 5: multi-select; Tweet 6: pindah wallet atau hapus sekaligus.","Screen recording 20 detik dengan cursor spotlight. Bagi video menjadi Search, Filter, Bulk tanpa memenuhi layar dengan teks.","Dataset demo; rekaman Cashflow Table; screenshot move wallet sheet","Bookmark thread ini untuk saat data Cashflow-mu mulai ramai.","src/components/cashflow/CashflowTable.tsx"
"2026-08-09","Minggu","10:00","Analytics","Ringkasan balance, income, expense, dan tren","Implemented","Value demonstration","Mencatat adalah langkah pertama. Nilainya muncul saat kamu bisa melihat pola, bukan cuma angka terakhir.","Tweet 1: Hook dari catatan ke insight; Tweet 2: balance, income, expense; Tweet 3: pilihan periode; Tweet 4: monthly trend; Tweet 5: category breakdown; Tweet 6: top expenses dan langkah review.","Carousel bergaya editorial data. Satu chart per panel, banyak whitespace, angka utama besar, warna hijau untuk income dan merah untuk expense.","Screenshot Summary; screenshot monthly trend; screenshot category breakdown","Metrik mana yang paling sering kamu cek: balance, expense, atau tren bulanan?","src/app/(cashflow)/(tabs)/summary/index.tsx | src/components/cashflow/AnalyticsCharts.tsx"
"2026-08-10","Senin","19:30","Analytics","Periode fleksibel dan drill-down kategori","Implemented","Feature depth","Angka pengeluaran tanpa konteks waktu sering menyesatkan. Ethos membiarkan kamu membandingkan periode lalu masuk sampai transaksi kategorinya.","Tweet 1: Hook pentingnya konteks; Tweet 2: pilihan hari, minggu, bulan, tiga bulan, tahun, all time; Tweet 3: statistik dihitung ulang; Tweet 4: tap kategori; Tweet 5: lihat transaksi penyusun angka; Tweet 6: contoh investigasi biaya makan.","Carousel investigatif seperti magnifying glass: overview chart, kategori disorot, lalu daftar transaksi. Gunakan breadcrumb visual Summary > Makan > Entries.","Screenshot date presets; screenshot category drill-down","Kategori apa yang ingin kamu audit bulan ini?","src/app/(cashflow)/(tabs)/summary/index.tsx | src/app/(cashflow)/forms/category-entries.tsx | src/components/cashflow/AnalyticsCharts.tsx"
